State, Gender, Deaths, Population, Crude Rate
Alabama, Female, 404542, 40817084, 991.1
Alabama, Male, 403821, 38336447, 1053.4
Alabama, Total, 808363, 79153531, 1021.3
Alaska, Female, 25317, 5576479, 454.0
Alaska, Male, 33567, 6042575, 555.5
Alaska, Total, 58884, 11619054, 506.8
Arizona, Female, 369933, 51357896, 720.3
Arizona, Male, 411529, 50902424, 808.5
Arizona, Total, 781462, 102260320, 764.2
Arkansas, Female, 242946, 24540426, 990.0
Arkansas, Male, 248263, 23586713, 1052.6
Arkansas, Total, 491209, 48127139, 1020.6
California, Female, 1998985, 310765448, 643.2
California, Male, 2045838, 307716599, 664.8
California, Total, 4044823, 618482047, 654.0
Colorado, Female, 259912, 40807583, 636.9
Colorado, Male, 263856, 41172019, 640.
Colorado, Total, 523768, 81979602, 638.9
Connecticut, Female, 263112, 30749290, 855.7
Connecticut, Male, 237671, 29102558, 816.7
Connecticut, Total, 500783, 59851848, 836.7
Delaware, Female, 63745, 7568461, 842.2
Delaware, Male, 63376, 7122032, 889.9
Delaware, Total, 127121, 14690493, 865.3
D.C., Female, 44034, 5350921, 822.9
D.C., Male, 45085, 4789566, 941.3
D.C., Total, 89119, 10140487, 878.8
Florida, Female, 1419081, 157296044, 902.2
Florida, Male, 1514729, 150362162, 1007.4
Florida, Total, 2933810, 307658206, 953.6
Georgia, Female, 590560, 80032070, 737.9
Georgia, Male, 587070, 76762277, 764.8
Georgia, Total, 1177630, 156794347, 751.1
Hawaii, Female, 73494, 11139975, 659.7
Hawaii, Male, 87886, 11251853, 781.1
Hawaii, Total, 161380, 22391828, 720.7
Idaho, Female, 91356, 12534222, 728.9
Idaho, Male, 95448, 12591520, 758.0
Idaho, Total, 186804, 25125742, 743.5
Illinois, Female, 907225, 109883470, 825.6
Illinois, Male, 857948, 105746017, 811.3
Illinois, Total, 1765173, 215629487, 818.6
Indiana, Female, 492532, 54915764, 896.9
Indiana, Male, 475681, 53123572, 895.4
Indiana, Total, 968213, 108039336, 896.2
Iowa, Female, 248340, 25871605, 959.9
Iowa, Male, 229394, 25234423, 909.1
Iowa, Total, 477734, 51106028, 934.8
