State, Gender, Deaths, Population, Crude Rate
Alabama, Female, 404542, 40817084, 991.1
Alaska, Female, 25317, 5576479, 454.0
Arizona, Female, 369933, 51357896, 720.3
Arkansas, Female, 242946, 24540426, 990.0
California, Female, 1998985, 310765448, 643.2
Colorado, Female, 259912, 40807583, 636.9
Connecticut, Female, 263112, 30749290, 855.7
Delaware, Female, 63745, 7568461, 842.2
D.C., Female, 44034, 5350921, 822.9
Florida, Female, 1419081, 157296044, 902.2
Georgia, Female, 590560, 80032070, 737.9
Hawaii, Female, 73494, 11139975, 659.7
Idaho, Female, 91356, 12534222, 728.9
Illinois, Female, 907225, 109883470, 825.6
Indiana, Female, 492532, 54915764, 896.9
Iowa, Female, 248340, 25871605, 959.9
Kansas, Female, 217573, 23945573, 908.6
Kentucky, Female, 351968, 36685684, 959.4
Louisiana, Female, 350859, 39380356, 890.9
Maine, Female, 111112, 11426117, 972.4
Maryland, Female, 381596, 49633215, 768.8
Massachusetts, Female, 491995, 57106665, 861.5
Michigan, Female, 762822, 86174039, 885.2
Minnesota, Female, 337968, 44509511, 759.3
Mississippi, Female, 244751, 25604896, 955.9
Missouri, Female, 482811, 50896041, 948.6
Montana, Female, 72554, 8160776, 889.1
Nebraska, Female, 134877, 15361506, 878.0
Nevada, Female, 145923, 20950798, 696.5
New Hampshire, Female, 89687, 11169041, 803.0
New Jersey, Female, 635444, 75865324, 837.6
New Mexico, Female, 123977, 16965660, 730.8
New York, Female, 1349237, 169325749, 796.8
North Carolina, Female, 661021, 78751767, 839.4
North Dakota, Female, 50278, 5643202, 890.9
Ohio, Female, 962118, 100050249, 961.6
Oklahoma, Female, 308880, 31388737, 984.0
Oregon, Female, 271265, 31814480, 852.6
Pennsylvania, Female, 1132112, 109618777, 1032.8
Rhode Island, Female, 88352, 9298919, 950.1
South Carolina, Female, 337160, 38655223, 872.2
South Dakota, Female, 60041, 6778082, 885.8
Tennessee, Female, 500090, 53464137, 935.4
Texas, Female, 1365875, 204305726, 668.5
Utah, Female, 119440, 21932072, 544.6
Vermont, Female, 46021, 5360032, 858.6
Virginia, Female, 509734, 66921737, 761.7
Washington, Female, 404541, 55194406, 732.9
West Virginia, Female, 182686, 15852558, 1152.4
Wisconsin, Female, 410621, 47902506, 857.2


Wyoming, Female, 34988, 4494981, 778.4

