State, Gender, Deaths, Population, Crude Rate
Alabama, Total, 808363, 79153531, 1021.3
Alaska, Total, 58884, 11619054, 506.8
Arizona, Total, 781462, 102260320, 764.2
Arkansas, Total, 491209, 48127139, 1020.6
California, Total, 4044823, 618482047, 654.0
Colorado, Total, 523768, 81979602, 638.9
Connecticut, Total, 500783, 59851848, 836.7
Delaware, Total, 127121, 14690493, 865.3
D.C., Total, 89119, 10140487, 878.8
Florida, Total, 2933810, 307658206, 953.6
Georgia, Total, 1177630, 156794347, 751.1
Hawaii, Total, 161380, 22391828, 720.7
Idaho, Total, 186804, 25125742, 743.5
Illinois, Total, 1765173, 215629487, 818.6
Indiana, Total, 968213, 108039336, 896.2
Iowa, Total, 477734, 51106028, 934.8
Kansas, Total, 422627, 47492505, 889.9
Kentucky, Total, 704828, 72069687, 978.0
Louisiana, Total, 711651, 76816288, 926.4
Maine, Total, 217660, 22346589, 974.0
Maryland, Total, 751698, 96095812, 782.2
Massachusetts, Total, 930115, 110561604, 841.3
Michigan, Total, 1503723, 169247101, 888.5
Minnesota, Total, 659217, 88349625, 746.1
Mississippi, Total, 494415, 49696268, 994.9
Missouri, Total, 948452, 99548925, 952.7
Montana, Total, 148575, 16350314, 908.7
Nebraska, Total, 261779, 30449575, 859.7
Nevada, Total, 321380, 42397289, 758.0
New Hampshire, Total, 175797, 22040058, 797.6
New Jersey, Total, 1218421, 147786615, 824.4
New Mexico, Total, 263248, 33510363, 785.6
New York, Total, 2587220, 327923109, 789.0
North Carolina, Total, 1308548, 153789162, 850.9
North Dakota, Total, 101135, 11394034, 887.6
Ohio, Total, 1867737, 195264288, 956.5
Oklahoma, Total, 617265, 62035326, 995.0
Oregon, Total, 540185, 63028957, 857.0
Pennsylvania, Total, 2180843, 213336433, 1022.3
Rhode Island, Total, 166602, 17971898, 927.0
South Carolina, Total, 684500, 75243461, 909.7
South Dakota, Total, 120846, 13541850, 892.4
Tennessee, Total, 998915, 104293627, 957.8
Texas, Total, 2777261, 405679137, 684.6
Utah, Total, 242597, 44050407, 550.7
Vermont, Total, 89534, 10552926, 848.4
Virginia, Total, 1004724, 131420921, 764.5
Washington, Total, 810919, 110031695, 737.0
West Virginia, Total, 363564, 31138841, 1167.6
Wisconsin, Total, 805817, 94983188, 848.4
Wyoming, Total, 72744, 9131503, 796.6
